data-itemid,data-product-name,data-variant,data-category,data-brand,data-price,data-dimension9,data-dimension,data-metric2,item-link,item-image-link
1N194U010TT0339A038,Penny,Black and Blush Pink,shoes-flats,Casadei,565,SS2022,FP,192,https://www.casadei.com/en/shoes/flats/penny-black-and-blush-pink-1N194U010TT0339A038.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dweb63430f/images/zoom/1N194U010TT0339_A038_3.jpg?sw=804&sh=1200&sm=fit
1N198U0201C1662A917,Mia Flora,Sandstone and Vintage Rose,shoes-flats,Casadei,540,SS2022,FP,183,https://www.casadei.com/en/shoes/flats/mia-flora-sandstone-and-vintage-rose-1N198U0201C1662A917.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwc0692b0d/images/zoom/1N198U0201C1662_A917_3.jpg?sw=804&sh=1200&sm=fit
1N199U010MC1662A919,Mia Flora,White and Light Rose,shoes-flats,Casadei,625,SS2022,FP,212,https://www.casadei.com/en/shoes/flats/mia-flora-white-and-light-rose-1N199U010MC1662A919.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwee1a9ae0/images/zoom/1N199U010MC1662_A919_3.jpg?sw=804&sh=1200&sm=fit
1N199U010MC1662A920,Mia Flora,Optimistic Pink and Light Rose,shoes-flats,Casadei,625,SS2022,FP,212,https://www.casadei.com/en/shoes/flats/mia-flora-optimistic-pink-and-light-rose-1N199U010MC1662A920.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwea264421/images/zoom/1N199U010MC1662_A920_3.jpg?sw=804&sh=1200&sm=fit
1N199U010MC1663A922,Mia Flora Pink Panther,Pink Panther,shoes-flats,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/flats/mia-flora-pink-panther-pink-panther-1N199U010MC1663A922.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwcff30707/images/zoom/1N199U010MC1663_A922_3.jpg?sw=804&sh=1200&sm=fit
1N206U0201C17761400,Soraya C Chain,Oro,shoes-flats,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/flats/soraya-c-chain-oro-1N206U0201C17761400.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dwdaa388e0/images/zoom/1N206U0201C1776_1400_3.jpg?sw=804&sh=1200&sm=fit
1N206U0201C17763301,Soraya C Chain,Spiaggia Rosa,shoes-flats,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/flats/soraya-c-chain-spiaggia-rosa-1N206U0201C17763301.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw3bd39ef8/images/zoom/1N206U0201C1776_3301_3.jpg?sw=804&sh=1200&sm=fit
1N206U0201C17769700,Soraya C Chain,Argento,shoes-flats,Casadei,650,SS2022,FP,221,https://www.casadei.com/en/shoes/flats/soraya-c-chain-argento-1N206U0201C17769700.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw4777e192/images/zoom/1N206U0201C1776_9700_3.jpg?sw=804&sh=1200&sm=fit
1Q154T160GLOVEC9000,Rock,Black,shoes-platforms,Casadei,1190,FW2021,FP,404,https://www.casadei.com/en/shoes/platforms/rock-black-1Q154T160GLOVEC9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw0f05049f/images/zoom/1Q154T160GLOVEC_9000_3.jpg?sw=804&sh=1200&sm=fit
1Q606H120HHMINO9000,Blade,Black,shoes-ankleboots,Casadei,965,SS2020,FP,327,https://www.casadei.com/en/shoes/ankle-boots/blade-black-1Q606H120HHMINO9000.html,https://www.casadei.com/dw/image/v2/AAGA_PRD/on/demandware.static/-/Sites-05/default/dw7178fe24/images/zoom/1Q606H120HHMINO_9000_3.jpg?sw=804&sh=1200&sm=fit
